ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID982596088,43 Rowland St,7,h,4050000.0,12/08/2017,4.0,2.0,725.0,42.0,-37.81185,145.05387
ID272585119,19 Newry St,3,h,1320000.0,28/05/2016,1.0,0.0,365.0,5.0,-37.8554,145.0001
ID741031646,13 Tanjil Ct,3,h,590500.0,29/07/2017,1.0,1.0,585.0,9.0,-37.676809999999996,145.00323
ID375541301,1/5 Farringdon St,3,t,790000.0,12/11/2016,3.0,1.0,291.0,10.0,-37.7271,144.9261
ID318913801,137 Gold St,2,h,1000000.0,20/05/2017,1.0,0.0,193.0,49.0,-37.7936,144.9899
ID826293591,6 Exeter Cl,4,h,1222000.0,27/11/2016,2.0,4.0,732.0,59.0,-37.7704,145.1247
ID123650338,22 Duke St,4,h,2170000.0,17/06/2017,2.0,2.0,697.0,109.0,-37.86015,145.07735
ID163328258,156 Patterson Rd,3,h,1110000.0,6/08/2016,1.0,2.0,692.0,79.0,-37.9263,145.04
ID392016775,21 Tait St,3,h,950000.0,14/05/2016,2.0,2.0,281.0,69.0,-37.8431,144.8845
ID977032530,10/51 Delbridge St,1,u,495000.0,27/05/2017,1.0,1.0,0.0,8.0,-37.78737,144.98735
ID583677959,30 Hall St,3,h,620000.0,8/10/2016,1.0,4.0,699.0,59.0,-37.7905,144.8033
ID462087282,61 McKimmies Rd,3,h,487000.0,27/05/2017,1.0,1.0,533.0,49.0,-37.67605,145.03956000000005
ID443868202,65 Huskisson Av,3,h,652000.0,23/09/2017,1.0,2.0,533.0,39.0,-37.6605,145.01218
ID470043955,7 Kenneth St,3,h,1100000.0,4/03/2017,2.0,3.0,490.0,69.0,-37.7413,145.0203
ID878908628,7 Hilda St,3,h,1150000.0,26/07/2016,1.0,0.0,300.0,119.0,-37.7548,144.9315
ID175327122,6 Wilson Gr,3,h,1602500.0,18/03/2017,1.0,1.0,405.0,89.0,-37.8448,145.071
ID782951219,50 Thompson St,4,h,1630000.0,25/02/2017,2.0,2.0,265.0,9.0,-37.8656,144.9039
ID127106995,3/47 Southern Rd,2,h,510000.0,27/11/2016,1.0,1.0,174.0,59.0,-37.7433,145.0545
ID817519061,27/78 Holyrood St,2,u,685000.0,12/06/2016,1.0,2.0,0.0,119.0,-37.9339,145.0023
ID933956315,5 Alameda St,4,h,1630000.0,9/09/2017,2.0,2.0,554.0,59.0,-37.99323,145.0744
ID700443592,203/150 Peel St,2,u,598000.0,27/11/2016,1.0,1.0,0.0,14.0,-37.8044,144.9566
ID622499446,1 Buxton St,3,h,1061000.0,3/12/2016,1.0,1.0,533.0,14.0,-37.7955,144.8784
ID342664587,25 Palmer St,4,h,1775000.0,27/11/2016,1.0,0.0,434.0,119.0,-37.8185,145.0061
ID467228906,25 Clauscen St,3,h,1150000.0,3/09/2016,2.0,2.0,649.0,59.0,-37.7642,145.1157
ID160171991,37 Victoria Rd,4,h,4760000.0,18/03/2017,2.0,2.0,903.0,49.0,-37.8238,145.0624
